intertie_id,intertie_name,current,aea_energy_region,source
186-0000,Adak Grid,True,Aleutians,
187-0000,Sand Point Grid,True,Aleutians,
188-0000,Manley Hot Springs Grid,True,Yukon-Koyukuk/Upper Tanana,
189-0000,Tenakee Springs Grid,True,Southeast,
190-0000,Tuluksak Grid,True,Lower Yukon-Kuskokwim,
191-0000,Tuntutuliak Grid,True,Lower Yukon-Kuskokwim,
193-0000,Nikolski Grid,True,Aleutians,
194-0000,Unalakleet Grid,True,Bering Straits,
195-0000,Unalaska Grid,True,Aleutians,
196-0000,Newtok Grid,True,Lower Yukon-Kuskokwim,
197-0000,Venetie Grid,True,Yukon-Koyukuk/Upper Tanana,
198-0000,WhiteMountain Grid,True,Bering Straits,
213-0000,Whale_Pass Grid,True,Southeast,
215-1985,Railbelt Grid,True,Railbelt,Distributing Alaska's Power. 2008
216-1982,CopperValley Grid,True,Copper River/Chugach,Distributing Alaska's Power. 2008
217-2009,SEAPA Grid,True,Southeast,SEAPA communication
219-0000,Sitka Grid,True,Southeast,
221-0000,Utqiagvik Grid,True,North Slope,
222-0000,Juneau Grid,True,Southeast,
223-0000,Kodiak Grid,True,Kodiak,
224_0000,Deadhorse Grid,True,North Slope,
225_0000,Metlakatla Grid,True,Southeast,
226_0000,Paxson Grid,True,Copper River/Chugach,
